,coefficient
having_sub_domain statistical_report,-0.026799932380883632
links_in_tags web_traffic,-0.02651014199072139
prefix_suffix web_traffic,-0.0254217001559884
having_ip_address domain_registration_length,0.024705258519199906
domain_registration_length google_index,-0.02396966680121348
double_slash_redirecting domain_registration_length,0.02213907757867115
abnormal_url web_traffic,-0.0191125265250549
having_sub_domain dns_record,-0.01879508367097568
iframe web_traffic,-0.016334464048798587
links_in_tags page_rank,0.01558861700935859
https_token statistical_report,-0.014496732681373666
https_token links_pointing_to_page,-0.01317583036962725
having_at_symbol dns_record,-0.013077038070422469
https_token iframe,-0.013031393088946613
on_mouseover popup_window,0.012139783433902698
popup_window age_of_domain,0.011002099740241618
having_at_symbol prefix_suffix,0.009528030573245486
submitting_to_email page_rank,0.008346995280393812
having_ip_address ssl_final_state,0.007939652453390074
double_slash_redirecting dns_record,-0.007218889851814547
abnormal_url,-0.0068399288569647426
redirect popup_window,-0.006382958994082394
popup_window,0.006314743105795075
ssl_final_state https_token,-0.005064160077471208
having_at_symbol iframe,0.003238911924211449
https_token server_form_handler,-0.0026375181806411
double_slash_redirecting server_form_handler,0.002546404701870824
domain_registration_length dns_record,-0.0021443020061851087
server_form_handler iframe,-0.001838727853636514
on_mouseover age_of_domain,-0.0013199269896344529
url_length url_of_anchor,0.0004562708093311036
